date,w_target,w_adj,w_prev,turnover,cost,port_ret,alert_level,applied_scale,width_z,stress,is_month_end,is_monday,days_since_month_end
2025-03-04,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-05,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-06,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-07,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-10,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.00017467512179310862,False,True,-1
2025-03-11,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-12,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-13,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-14,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2025-03-17,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,-0.47232811480618303,0.000177312107597616,False,True,-1
